# NOTICE: This dataset is synthetic development data and is not representative of real-world candidate populations.
sample_id,topic,question_difficulty,difficulty_numeric,attempt_number,technical_score,relevance_score,completeness_score,clarity_score,communication_score,answer_length,keyword_coverage,previous_score,average_previous_score,topic_accuracy,composite_score,readiness_label
202,SQL & DBMS,Easy,1,4,63.48,64.25,66.91,55.27,62.46,60,0.441,70.47,66.98,61.51,61.64,Almost Ready
203,Machine Learning & AI,Medium,2,1,74.99,71.73,61.42,67.88,64.2,78,0.595,70.83,72.91,77.04,68.31,Almost Ready
204,SQL & DBMS,Easy,1,3,42.84,41.97,49.21,55.36,47.74,26,0.329,40.27,41.56,49.8,44.81,Needs Improvement
205,SQL & DBMS,Medium,2,4,55.26,54.42,52.83,53.2,57.13,61,0.546,65.15,60.21,57.44,54.35,Needs Improvement
206,Python & OOP,Hard,3,1,57.08,68.29,49.87,43.14,42.63,24,0.382,61.24,59.16,53.09,52.95,Needs Improvement
207,Cloud & DevOps,Medium,2,5,47.97,53.49,44.7,49.86,53.55,55,0.499,45.58,46.78,55.44,48.64,Needs Improvement
208,SQL & DBMS,Easy,1,2,67.61,67.41,65.64,86.97,80.39,76,0.674,68.2,67.91,69.85,69.64,Almost Ready
209,Generative AI & RAG,Hard,3,5,52.11,56.05,42.83,51.45,57.74,16,0.492,48.75,50.43,45.25,50.3,Needs Improvement
210,Generative AI & RAG,Easy,1,2,48.2,47.86,46.04,55.88,55.51,77,0.516,33.05,40.62,49.8,49.08,Needs Improvement
211,SQL & DBMS,Medium,2,5,74.56,81.71,59.13,85.91,89.12,112,0.581,92.74,83.65,75.83,71.99,Almost Ready
212,Machine Learning & AI,Medium,2,4,72.2,78.2,65.68,78.96,79.46,107,0.684,64.98,68.59,68.88,72.13,Almost Ready
213,Generative AI & RAG,Easy,1,5,65.74,59.93,75.1,54.43,42.4,36,0.384,59.5,62.62,67.99,62.18,Almost Ready
214,SQL & DBMS,Easy,1,3,26.44,31.77,24.7,31.45,30.0,62,0.361,31.35,28.9,24.65,28.45,Needs Improvement
215,System Design,Hard,3,2,27.07,37.98,23.72,42.39,43.85,52,0.214,42.02,34.55,31.83,29.68,Needs Improvement
216,Generative AI & RAG,Hard,3,2,49.0,51.4,39.57,48.69,53.51,39,0.3,47.89,48.44,44.51,45.29,Needs Improvement
217,Machine Learning & AI,Hard,3,5,46.56,47.31,33.21,59.8,54.37,79,0.718,49.69,48.13,44.27,47.58,Needs Improvement
218,Machine Learning & AI,Hard,3,4,20.0,25.0,20.0,25.0,30.65,11,0.255,28.62,24.31,21.7,22.33,Needs Improvement
219,SQL & DBMS,Easy,1,1,44.2,44.96,32.69,46.55,48.22,44,0.278,44.33,44.27,55.53,40.23,Needs Improvement
220,SQL & DBMS,Medium,2,5,73.81,86.05,79.76,79.25,81.32,69,0.506,64.29,69.05,70.42,75.73,Almost Ready
221,Cloud & DevOps,Medium,2,4,39.64,45.35,46.3,27.67,39.67,74,0.318,57.46,48.55,35.97,40.18,Needs Improvement
222,Machine Learning & AI,Medium,2,2,44.54,49.25,31.65,51.36,60.86,80,0.47,33.84,39.19,54.1,43.77,Needs Improvement
223,Machine Learning & AI,Easy,1,5,33.86,42.48,29.97,55.94,47.93,65,0.245,41.58,37.72,35.0,36.15,Needs Improvement
224,Cloud & DevOps,Medium,2,4,25.53,30.74,22.87,25.0,30.0,60,0.297,37.18,31.36,20.0,26.24,Needs Improvement
225,Generative AI & RAG,Easy,1,3,20.0,25.0,29.82,25.0,30.0,37,0.1,20.0,20.0,26.66,23.2,Needs Improvement
226,Machine Learning & AI,Medium,2,5,55.06,53.29,49.41,53.71,53.34,34,0.554,45.2,50.13,62.15,53.19,Needs Improvement
227,SQL & DBMS,Hard,3,3,55.33,54.58,52.39,50.43,59.18,73,0.41,35.81,45.57,56.73,52.75,Needs Improvement
228,System Design,Hard,3,3,38.44,45.48,45.26,44.33,46.06,55,0.383,31.7,35.07,30.81,42.15,Needs Improvement
229,Generative AI & RAG,Hard,3,1,50.81,54.63,55.91,66.85,71.62,65,0.654,53.02,51.92,48.24,56.76,Needs Improvement
230,Python & OOP,Medium,2,5,58.2,55.33,41.14,68.87,72.37,81,0.348,58.99,58.59,47.56,52.94,Needs Improvement
231,System Design,Hard,3,1,65.39,58.27,45.25,66.26,64.01,120,0.615,67.17,66.28,77.61,58.92,Almost Ready
232,Python & OOP,Medium,2,5,67.46,63.75,60.23,70.84,76.9,84,0.613,48.99,58.23,72.05,65.28,Almost Ready
233,System Design,Hard,3,1,37.29,45.11,26.35,38.96,39.63,27,0.26,39.01,38.15,48.65,34.88,Needs Improvement
234,Cloud & DevOps,Hard,3,3,67.62,73.24,40.83,67.13,69.89,64,0.687,76.03,71.83,65.85,61.94,Almost Ready
235,System Design,Medium,2,5,20.0,25.0,20.0,25.0,30.0,40,0.1,20.0,20.0,20.0,20.75,Needs Improvement
236,System Design,Medium,2,5,66.16,69.07,59.15,70.34,75.72,89,0.528,57.57,61.87,70.23,64.4,Almost Ready
237,Cloud & DevOps,Hard,3,2,20.0,26.45,20.0,25.0,33.33,85,0.1,20.0,20.0,20.88,21.13,Needs Improvement
238,Generative AI & RAG,Hard,3,3,47.75,50.2,43.02,44.54,40.18,37,0.239,45.13,46.44,45.25,43.85,Needs Improvement
239,Machine Learning & AI,Easy,1,2,29.69,41.39,34.26,49.68,54.86,46,0.267,20.0,24.84,32.79,35.54,Needs Improvement
240,SQL & DBMS,Medium,2,3,55.81,53.42,40.0,61.87,61.78,55,0.531,49.83,52.82,61.19,52.13,Needs Improvement
241,Cloud & DevOps,Medium,2,4,30.54,35.23,27.98,28.99,30.0,18,0.1,41.58,36.06,25.71,28.37,Needs Improvement
242,Generative AI & RAG,Medium,2,4,46.45,38.46,32.99,68.46,81.61,63,0.381,53.24,49.85,42.39,45.01,Needs Improvement
243,Generative AI & RAG,Medium,2,4,63.48,60.02,71.87,60.78,66.9,95,0.397,63.12,63.3,65.21,62.58,Almost Ready
244,Generative AI & RAG,Medium,2,5,76.08,82.93,73.19,78.06,72.27,89,0.628,83.59,79.84,69.58,75.07,Almost Ready
245,System Design,Easy,1,2,89.71,83.85,89.69,90.85,86.66,70,0.647,84.85,87.28,99.77,86.29,Interview Ready
246,Python & OOP,Medium,2,3,20.42,27.08,31.36,25.0,35.88,31,0.27,38.14,29.28,22.88,26.04,Needs Improvement
247,Generative AI & RAG,Hard,3,5,56.52,57.62,39.85,69.23,60.35,47,0.678,57.88,57.2,61.54,55.1,Needs Improvement
248,Generative AI & RAG,Medium,2,3,58.8,64.99,69.4,63.12,56.35,56,0.387,67.02,62.91,59.03,60.68,Almost Ready
249,Generative AI & RAG,Medium,2,5,49.88,55.33,57.02,66.2,66.59,73,0.437,74.92,62.4,51.44,54.33,Needs Improvement
250,Cloud & DevOps,Easy,1,3,73.27,69.43,75.73,62.19,57.83,74,0.568,81.44,77.35,71.14,69.78,Almost Ready
251,System Design,Medium,2,4,74.86,75.66,69.03,84.45,84.34,99,0.645,71.52,73.19,66.17,73.92,Almost Ready
252,System Design,Medium,2,4,54.69,53.01,46.88,64.18,71.57,70,0.634,62.28,58.49,49.5,55.15,Needs Improvement
253,System Design,Medium,2,1,60.74,64.52,45.16,64.07,65.22,44,0.479,59.44,60.09,66.12,56.69,Needs Improvement
254,SQL & DBMS,Medium,2,1,70.12,78.39,62.34,63.47,72.78,90,0.651,65.44,67.78,66.14,68.38,Almost Ready
255,Python & OOP,Easy,1,4,69.89,77.85,60.83,84.23,91.63,91,0.735,48.12,59.0,70.78,71.7,Almost Ready
256,System Design,Medium,2,2,96.0,96.31,85.77,72.69,75.31,132,0.787,95.77,95.89,97.13,88.39,Interview Ready
257,SQL & DBMS,Easy,1,1,46.14,53.13,37.17,60.12,59.14,44,0.37,39.55,42.85,37.82,46.08,Needs Improvement
258,SQL & DBMS,Medium,2,1,63.87,65.0,50.36,63.65,60.12,67,0.58,66.75,65.31,66.29,59.86,Almost Ready
259,Cloud & DevOps,Medium,2,3,36.37,48.79,32.99,38.27,34.93,33,0.21,27.03,31.7,39.44,35.97,Needs Improvement
260,SQL & DBMS,Hard,3,1,65.0,70.04,72.83,69.57,67.83,67,0.699,75.6,70.3,65.17,68.8,Almost Ready
261,System Design,Medium,2,2,48.82,61.24,43.66,60.21,70.51,88,0.203,67.72,58.27,52.23,48.76,Needs Improvement
262,Cloud & DevOps,Medium,2,3,35.09,39.98,35.23,49.77,56.48,96,0.414,42.01,38.55,30.65,39.03,Needs Improvement
263,SQL & DBMS,Medium,2,5,85.53,80.64,78.11,84.93,86.04,117,0.819,78.29,81.91,84.55,82.54,Interview Ready
264,System Design,Medium,2,2,61.14,62.84,53.79,57.97,61.89,103,0.542,71.1,66.12,55.65,58.58,Almost Ready
265,System Design,Medium,2,4,26.1,34.8,24.29,25.0,30.0,45,0.224,37.19,31.64,28.19,26.66,Needs Improvement
266,System Design,Easy,1,5,28.5,35.45,28.62,34.85,40.21,8,0.127,28.09,28.29,39.8,29.21,Needs Improvement
267,System Design,Medium,2,4,69.54,70.14,88.26,65.46,65.64,74,0.483,79.04,74.29,69.24,71.58,Almost Ready
268,System Design,Medium,2,4,69.09,70.07,73.73,75.75,70.68,82,0.679,84.37,76.73,60.47,71.02,Almost Ready
269,Generative AI & RAG,Hard,3,3,83.46,77.07,88.69,58.16,52.09,36,0.496,71.89,77.68,88.08,76.32,Almost Ready
270,Cloud & DevOps,Medium,2,2,47.85,46.49,58.86,54.59,59.63,77,0.448,50.26,49.06,48.1,51.36,Needs Improvement
271,System Design,Medium,2,4,63.45,78.54,71.06,67.74,63.13,83,0.612,68.51,65.98,70.68,67.8,Almost Ready
272,Generative AI & RAG,Medium,2,5,100.0,96.26,98.19,62.94,68.26,72,0.829,92.25,96.13,98.77,91.98,Interview Ready
273,Cloud & DevOps,Medium,2,5,58.89,66.99,50.89,52.85,55.86,87,0.374,55.46,57.18,50.06,55.2,Needs Improvement
274,Python & OOP,Medium,2,5,78.23,78.02,75.71,73.45,84.14,76,0.522,59.46,68.85,76.15,74.78,Almost Ready
275,System Design,Hard,3,2,40.13,35.43,47.99,46.98,50.61,38,0.194,47.2,43.66,53.87,40.53,Needs Improvement
276,SQL & DBMS,Easy,1,5,75.91,75.04,65.19,80.19,81.15,72,0.64,77.66,76.78,76.33,72.6,Almost Ready
277,Python & OOP,Medium,2,5,28.55,38.34,25.48,38.02,38.09,33,0.198,20.0,24.28,29.39,29.8,Needs Improvement
278,Generative AI & RAG,Medium,2,5,44.98,46.27,26.48,26.82,30.0,48,0.124,39.59,42.29,44.92,34.73,Needs Improvement
279,Machine Learning & AI,Medium,2,3,39.13,41.3,38.65,39.58,47.54,8,0.348,28.14,33.63,46.23,39.37,Needs Improvement
280,Machine Learning & AI,Hard,3,2,54.55,54.01,49.36,52.8,45.8,44,0.531,63.41,58.98,53.08,52.41,Needs Improvement
281,System Design,Easy,1,1,69.0,81.35,51.23,90.12,89.89,79,0.536,62.92,65.96,68.31,68.03,Almost Ready
282,SQL & DBMS,Easy,1,3,56.18,69.97,45.56,76.58,77.12,71,0.636,68.9,62.54,60.63,59.42,Almost Ready
283,Machine Learning & AI,Hard,3,1,40.18,34.06,20.0,43.15,44.58,38,0.324,46.43,43.3,42.07,33.95,Needs Improvement
284,SQL & DBMS,Medium,2,5,47.04,40.2,54.24,56.23,65.4,94,0.466,33.91,40.47,46.06,49.61,Needs Improvement
285,Python & OOP,Easy,1,5,43.39,45.96,33.6,42.4,36.73,59,0.528,42.25,42.82,43.74,41.83,Needs Improvement
286,SQL & DBMS,Hard,3,5,75.05,67.58,73.32,66.02,76.37,85,0.694,75.26,75.16,79.91,72.1,Almost Ready
287,Machine Learning & AI,Easy,1,5,66.58,79.42,59.0,71.26,83.4,62,0.485,64.76,65.67,66.17,66.11,Almost Ready
288,Python & OOP,Hard,3,1,79.23,85.38,86.31,86.26,90.87,129,0.85,79.54,79.39,77.08,83.78,Interview Ready
289,Generative AI & RAG,Hard,3,4,56.01,58.13,49.22,54.55,58.14,52,0.502,35.01,45.51,51.51,54.01,Needs Improvement
290,Cloud & DevOps,Medium,2,2,66.67,70.0,50.58,78.16,87.98,70,0.656,59.1,62.89,65.48,65.25,Almost Ready
291,Cloud & DevOps,Medium,2,4,43.53,46.17,43.97,57.84,47.87,40,0.532,40.8,42.16,44.74,46.65,Needs Improvement
292,System Design,Easy,1,5,65.41,68.87,81.31,58.02,57.34,89,0.449,41.47,53.44,61.29,66.71,Almost Ready
293,Cloud & DevOps,Easy,1,3,80.87,80.47,66.79,88.93,100.0,81,0.678,97.37,89.12,77.28,77.74,Almost Ready
294,SQL & DBMS,Medium,2,1,58.29,55.93,68.09,69.15,71.76,77,0.701,47.84,53.07,49.69,63.33,Almost Ready
295,Python & OOP,Hard,3,1,61.78,61.98,41.68,62.32,70.9,84,0.586,66.0,63.89,69.56,56.98,Needs Improvement
296,System Design,Medium,2,1,81.44,90.17,80.36,96.85,87.06,85,0.71,68.0,74.72,72.42,83.26,Interview Ready
297,Python & OOP,Hard,3,2,61.18,67.8,54.48,62.82,76.96,76,0.55,55.92,58.55,61.34,60.84,Almost Ready
298,Generative AI & RAG,Hard,3,4,32.74,36.55,37.69,48.98,36.75,93,0.368,24.98,28.86,29.41,36.78,Needs Improvement
299,Generative AI & RAG,Medium,2,2,58.5,62.38,59.77,68.79,75.71,78,0.509,49.5,54.0,53.68,60.53,Almost Ready
300,Machine Learning & AI,Hard,3,5,58.94,68.37,47.02,59.7,60.95,81,0.463,55.09,57.01,55.59,56.29,Needs Improvement
301,Cloud & DevOps,Medium,2,4,42.5,47.07,20.95,43.38,32.07,81,0.272,40.83,41.67,40.15,35.83,Needs Improvement
302,Cloud & DevOps,Medium,2,5,39.83,45.06,39.34,47.19,65.85,51,0.271,20.0,29.92,43.43,41.25,Needs Improvement
303,Generative AI & RAG,Hard,3,5,46.63,52.39,62.83,47.87,54.56,60,0.331,47.87,47.25,43.5,50.71,Needs Improvement
304,SQL & DBMS,Medium,2,2,73.87,66.61,76.59,76.56,87.9,83,0.483,80.17,77.02,75.78,71.87,Almost Ready
305,Python & OOP,Medium,2,1,44.16,58.36,51.34,49.0,56.88,64,0.377,46.15,45.15,43.75,48.55,Needs Improvement
306,SQL & DBMS,Hard,3,1,58.56,57.64,62.34,64.54,63.77,63,0.547,74.78,66.67,60.82,59.83,Almost Ready
307,Generative AI & RAG,Medium,2,4,33.28,26.29,26.65,38.67,42.29,21,0.345,34.21,33.74,26.39,31.69,Needs Improvement
308,Machine Learning & AI,Medium,2,4,48.23,67.38,35.4,47.02,40.72,10,0.426,53.19,50.71,45.08,46.83,Needs Improvement
309,Cloud & DevOps,Easy,1,3,64.09,69.63,35.13,68.98,64.46,55,0.564,53.45,58.77,67.7,57.42,Needs Improvement
310,Cloud & DevOps,Hard,3,1,48.31,33.69,36.34,56.66,62.79,61,0.417,71.24,59.78,41.64,44.02,Needs Improvement
311,Machine Learning & AI,Medium,2,5,66.72,68.71,64.42,61.04,59.66,64,0.443,67.7,67.21,65.96,63.28,Almost Ready
312,Machine Learning & AI,Medium,2,3,55.34,54.35,45.44,46.92,47.72,43,0.464,28.91,42.13,52.51,50.6,Needs Improvement
313,Cloud & DevOps,Medium,2,3,56.06,57.93,62.8,64.34,71.86,55,0.386,55.98,56.02,56.85,57.89,Needs Improvement
314,Generative AI & RAG,Easy,1,4,32.4,41.03,43.12,46.7,42.14,40,0.248,37.3,34.85,36.88,37.53,Needs Improvement
315,Machine Learning & AI,Hard,3,1,42.76,47.73,40.02,45.42,59.34,31,0.432,31.21,36.98,40.66,43.96,Needs Improvement
316,Python & OOP,Medium,2,2,90.06,96.76,86.44,75.66,78.35,79,0.695,100.0,95.03,98.81,86.08,Interview Ready
317,System Design,Medium,2,1,72.16,76.85,66.61,76.26,77.46,124,0.681,63.06,67.61,82.7,71.75,Almost Ready
318,Machine Learning & AI,Hard,3,4,36.79,42.19,37.81,25.0,30.0,66,0.211,38.82,37.8,30.5,34.77,Needs Improvement
319,Machine Learning & AI,Medium,2,2,63.06,59.02,51.97,62.77,71.55,50,0.405,61.03,62.05,66.3,57.82,Needs Improvement
320,SQL & DBMS,Easy,1,2,70.13,72.79,77.61,74.84,81.57,81,0.516,73.38,71.76,70.45,71.59,Almost Ready
321,Generative AI & RAG,Easy,1,3,29.38,25.51,20.0,33.55,39.21,55,0.278,32.12,30.75,22.94,27.2,Needs Improvement
322,Machine Learning & AI,Hard,3,5,61.28,66.42,41.95,63.08,65.81,58,0.56,59.95,60.61,62.33,57.09,Needs Improvement
323,Generative AI & RAG,Medium,2,1,61.65,58.37,61.91,53.54,61.29,43,0.418,66.84,64.25,64.13,58.41,Almost Ready
324,Python & OOP,Hard,3,2,49.74,46.23,37.93,51.9,60.52,53,0.393,45.68,47.71,49.9,45.97,Needs Improvement
325,SQL & DBMS,Easy,1,2,53.34,50.8,38.91,56.13,61.84,32,0.265,63.63,58.48,57.32,47.37,Needs Improvement
326,System Design,Hard,3,1,75.34,78.46,50.46,77.03,78.89,101,0.528,43.57,59.46,74.83,67.68,Almost Ready
327,SQL & DBMS,Easy,1,2,20.0,25.0,20.0,25.0,30.0,8,0.1,20.0,20.0,20.0,20.75,Needs Improvement
328,Python & OOP,Medium,2,5,81.52,76.38,86.1,75.88,79.23,76,0.718,65.49,73.5,84.82,80.25,Interview Ready
329,System Design,Medium,2,5,51.55,62.47,39.68,55.22,55.55,55,0.394,67.28,59.42,54.34,49.57,Needs Improvement
330,Cloud & DevOps,Medium,2,3,29.43,29.89,20.0,57.04,57.48,46,0.47,30.46,29.95,27.09,33.06,Needs Improvement
331,Generative AI & RAG,Easy,1,3,52.62,59.73,47.34,51.04,56.22,8,0.286,47.0,49.81,55.01,49.99,Needs Improvement
332,Machine Learning & AI,Medium,2,4,28.88,27.82,28.62,25.0,30.0,8,0.1,20.0,24.44,27.34,26.44,Needs Improvement
333,Machine Learning & AI,Hard,3,1,65.39,75.21,57.31,43.98,51.19,21,0.349,63.01,64.2,64.28,58.95,Almost Ready
334,Machine Learning & AI,Medium,2,2,49.4,52.72,54.15,58.22,55.6,59,0.485,52.75,51.08,52.78,52.19,Needs Improvement
335,System Design,Medium,2,2,49.2,41.79,41.01,68.95,71.24,23,0.492,49.18,49.19,51.3,49.12,Needs Improvement
336,SQL & DBMS,Easy,1,2,48.1,44.27,47.38,52.97,60.26,54,0.315,59.07,53.59,37.15,46.79,Needs Improvement
337,Generative AI & RAG,Medium,2,4,57.73,68.11,62.57,49.97,55.5,62,0.504,50.44,54.09,63.08,58.88,Almost Ready
338,Generative AI & RAG,Hard,3,4,69.6,66.56,46.68,54.38,56.82,88,0.435,58.83,64.21,74.77,58.64,Almost Ready
339,Generative AI & RAG,Medium,2,1,46.89,52.38,44.42,77.5,86.03,71,0.473,56.9,51.9,41.46,52.15,Needs Improvement
340,SQL & DBMS,Medium,2,4,53.58,51.01,61.99,56.84,54.23,103,0.425,50.03,51.81,56.09,54.55,Needs Improvement
341,Cloud & DevOps,Hard,3,5,61.97,62.1,60.57,57.64,61.5,46,0.52,67.1,64.54,62.25,60.19,Almost Ready
342,Machine Learning & AI,Medium,2,1,56.36,64.08,53.52,60.6,65.56,80,0.498,40.42,48.39,55.3,57.04,Needs Improvement
343,Python & OOP,Medium,2,3,39.78,35.21,40.2,49.67,54.72,47,0.346,48.8,44.29,38.5,40.42,Needs Improvement
344,Machine Learning & AI,Medium,2,2,20.0,25.0,20.0,31.33,30.2,29,0.1,37.32,28.66,20.0,21.39,Needs Improvement
345,System Design,Easy,1,4,38.38,41.5,20.0,39.77,37.05,66,0.302,32.95,35.66,42.07,33.51,Needs Improvement
346,Machine Learning & AI,Medium,2,3,54.97,63.57,35.12,61.74,60.7,92,0.455,54.35,54.66,46.6,51.32,Needs Improvement
347,System Design,Medium,2,2,75.89,84.9,78.92,60.52,60.11,68,0.455,70.32,73.1,66.78,72.63,Almost Ready
348,Machine Learning & AI,Hard,3,2,28.22,30.53,21.11,47.29,42.56,33,0.316,42.28,35.25,27.02,29.76,Needs Improvement
349,Python & OOP,Hard,3,1,81.08,85.65,84.25,79.3,74.33,41,0.591,63.54,72.31,73.17,79.84,Interview Ready
350,System Design,Hard,3,5,61.48,68.62,51.33,68.51,70.42,79,0.612,65.41,63.45,63.75,61.14,Almost Ready
351,Generative AI & RAG,Hard,3,2,23.73,25.0,20.0,36.67,44.88,33,0.302,24.96,24.35,23.11,25.99,Needs Improvement
352,Machine Learning & AI,Easy,1,3,61.19,67.3,52.43,49.5,51.44,65,0.689,63.92,62.55,50.81,59.03,Almost Ready
353,Generative AI & RAG,Medium,2,5,49.11,51.21,38.22,47.57,51.43,37,0.422,39.16,44.14,55.25,45.97,Needs Improvement
354,System Design,Hard,3,2,63.44,65.47,54.25,66.6,73.42,86,0.586,44.19,53.81,59.7,61.78,Almost Ready
355,Machine Learning & AI,Medium,2,3,32.27,29.81,25.11,48.27,54.99,36,0.206,41.34,36.8,20.0,31.68,Needs Improvement
356,SQL & DBMS,Medium,2,5,86.09,85.52,83.37,84.64,98.73,107,0.861,97.91,92.0,89.3,85.81,Interview Ready
357,SQL & DBMS,Medium,2,3,62.63,64.11,65.43,55.25,70.65,44,0.401,47.57,55.1,67.49,60.96,Almost Ready
358,Cloud & DevOps,Medium,2,2,40.76,48.67,40.57,38.5,37.27,43,0.234,45.11,42.93,49.12,39.76,Needs Improvement
359,Machine Learning & AI,Easy,1,5,70.6,72.35,65.15,80.05,78.03,99,0.724,74.03,72.32,73.2,71.0,Almost Ready
360,System Design,Hard,3,4,77.98,98.02,88.68,63.74,61.04,60,0.701,88.25,83.11,80.98,80.61,Interview Ready
361,Generative AI & RAG,Hard,3,3,62.14,70.61,72.31,71.74,64.76,56,0.691,60.45,61.3,65.63,67.74,Almost Ready
362,Generative AI & RAG,Hard,3,3,39.79,41.25,45.53,49.36,46.25,42,0.324,53.79,46.79,41.62,41.99,Needs Improvement
363,Generative AI & RAG,Medium,2,2,51.34,52.69,58.58,69.25,64.51,65,0.582,57.97,54.65,43.29,56.48,Needs Improvement
364,Python & OOP,Medium,2,5,51.05,61.4,45.4,48.38,44.52,56,0.43,60.22,55.63,64.68,49.79,Needs Improvement
365,Machine Learning & AI,Medium,2,2,34.43,39.96,37.63,25.0,30.0,15,0.357,45.88,40.15,35.4,35.02,Needs Improvement
366,SQL & DBMS,Medium,2,5,74.6,70.96,78.4,75.87,75.9,87,0.614,88.23,81.41,73.08,73.88,Almost Ready
367,System Design,Easy,1,4,20.0,25.0,20.0,37.54,54.97,8,0.272,20.0,20.0,20.0,24.98,Needs Improvement
368,Cloud & DevOps,Medium,2,1,73.85,78.72,63.4,75.32,67.46,108,0.66,83.34,78.6,71.48,71.01,Almost Ready
369,Python & OOP,Easy,1,3,68.64,64.55,72.48,96.34,98.47,70,0.637,82.79,75.72,65.8,72.75,Almost Ready
370,System Design,Medium,2,2,85.56,85.75,75.35,88.79,87.77,58,0.579,94.34,89.95,81.71,80.71,Interview Ready
371,Machine Learning & AI,Easy,1,3,55.33,55.95,23.69,70.38,71.36,23,0.433,51.11,53.22,58.77,48.61,Needs Improvement
372,Generative AI & RAG,Easy,1,4,48.61,45.88,40.87,48.57,51.86,79,0.519,47.23,47.92,58.6,46.75,Needs Improvement
373,System Design,Hard,3,5,37.9,32.44,43.67,48.36,45.2,17,0.373,40.84,39.37,39.15,39.87,Needs Improvement
374,Generative AI & RAG,Medium,2,1,45.15,45.15,39.62,62.2,63.1,57,0.369,56.14,50.64,45.56,45.54,Needs Improvement
375,Cloud & DevOps,Easy,1,1,46.61,45.34,39.15,47.3,55.43,50,0.568,24.67,35.64,54.61,46.09,Needs Improvement
376,System Design,Hard,3,1,57.32,52.03,48.96,64.05,59.75,14,0.463,55.9,56.61,66.41,54.13,Needs Improvement
377,Python & OOP,Easy,1,2,29.55,41.23,20.0,31.05,30.0,27,0.385,29.75,29.65,22.61,29.99,Needs Improvement
378,Python & OOP,Easy,1,2,44.12,56.83,44.27,53.55,52.08,52,0.342,45.3,44.71,47.91,46.41,Needs Improvement
379,Generative AI & RAG,Medium,2,5,45.08,45.79,41.12,50.21,56.29,43,0.355,41.99,43.54,35.63,44.32,Needs Improvement
380,System Design,Medium,2,2,62.08,72.48,55.1,79.73,78.72,51,0.637,83.05,72.56,60.36,64.65,Almost Ready
381,Machine Learning & AI,Medium,2,5,20.0,25.0,20.0,43.89,52.03,72,0.237,41.88,30.94,20.0,25.11,Needs Improvement
382,System Design,Easy,1,1,23.34,29.35,20.0,25.0,33.96,41,0.1,30.21,26.78,25.77,22.77,Needs Improvement
383,Machine Learning & AI,Easy,1,3,45.72,49.18,29.26,48.08,47.59,71,0.38,40.61,43.17,32.95,41.68,Needs Improvement
384,Generative AI & RAG,Medium,2,2,54.86,47.18,42.4,62.84,75.14,64,0.521,64.38,59.62,51.15,52.13,Needs Improvement
385,Cloud & DevOps,Medium,2,4,59.06,74.57,45.99,52.43,55.82,77,0.403,69.07,64.07,54.57,55.42,Needs Improvement
386,Generative AI & RAG,Easy,1,4,20.0,25.0,20.38,25.0,30.0,47,0.1,31.27,25.64,20.0,20.84,Needs Improvement
387,System Design,Easy,1,1,72.84,60.41,51.06,78.05,78.45,92,0.685,77.35,75.09,70.51,65.9,Almost Ready
388,System Design,Hard,3,1,35.19,41.24,31.69,31.79,30.33,33,0.159,21.47,28.33,37.15,32.71,Needs Improvement
389,Python & OOP,Medium,2,5,58.42,70.61,33.67,63.49,72.27,31,0.592,50.62,54.52,63.21,55.34,Needs Improvement
390,Python & OOP,Medium,2,4,42.99,42.01,39.57,39.94,47.34,61,0.318,36.13,39.56,45.24,40.79,Needs Improvement
391,System Design,Medium,2,5,61.66,62.06,73.16,57.59,55.97,60,0.432,63.76,62.71,58.86,62.06,Almost Ready
392,System Design,Medium,2,2,56.2,59.65,57.8,52.56,53.96,43,0.412,59.12,57.66,59.97,55.14,Needs Improvement
393,System Design,Easy,1,1,52.4,46.69,43.61,62.95,70.17,48,0.316,47.31,49.86,47.5,49.2,Needs Improvement
394,Cloud & DevOps,Easy,1,1,59.89,64.12,41.28,60.14,61.15,68,0.302,60.18,60.03,54.09,52.99,Needs Improvement
395,System Design,Medium,2,4,36.69,34.15,42.56,42.57,56.63,61,0.2,41.99,39.34,46.25,37.69,Needs Improvement
396,Python & OOP,Medium,2,1,61.47,56.73,60.43,68.11,74.14,57,0.581,62.01,61.74,57.37,61.46,Almost Ready
397,SQL & DBMS,Easy,1,1,100.0,100.0,90.16,86.6,99.77,75,0.644,100.0,100.0,100.0,92.63,Interview Ready
398,Machine Learning & AI,Medium,2,1,56.97,49.66,42.14,66.89,62.26,40,0.672,56.37,56.67,63.51,54.44,Needs Improvement
399,System Design,Medium,2,2,20.0,26.77,20.0,36.47,33.06,8,0.1,20.0,20.0,20.0,22.32,Needs Improvement
400,Generative AI & RAG,Hard,3,2,44.17,45.56,53.68,48.34,53.08,39,0.384,27.66,35.92,41.94,47.04,Needs Improvement
401,SQL & DBMS,Hard,3,1,74.81,64.21,67.65,77.98,84.27,57,0.574,64.97,69.89,68.55,70.48,Almost Ready
402,Generative AI & RAG,Hard,3,4,62.49,65.6,54.95,67.43,63.6,89,0.574,64.6,63.54,58.02,61.11,Almost Ready
403,Python & OOP,Hard,3,1,44.03,48.06,20.0,52.35,58.45,41,0.535,38.45,41.24,40.85,41.13,Needs Improvement
404,Generative AI & RAG,Hard,3,3,66.7,57.76,69.89,68.6,77.71,51,0.563,67.82,67.26,61.91,65.86,Almost Ready
405,Python & OOP,Medium,2,2,81.25,82.79,79.34,82.21,65.83,99,0.79,76.9,79.07,88.45,80.1,Interview Ready
